Amostras;Na+;Cl-
SB180801 - PP1;24.03997879;28.06208186
SB180901 - PP1;41.10185106;60.65290128
SB180930 - PP1;24.42718632;28.47365844
SB181102 - PP1;87.90225987;118.3960111
SB181203 - PP1;80.28267968;87.16027333
SB190107 - PP1;54.75622634;52.37552085
SB190207 - PP1;33.42462016;67.40085861
SB190312 - PP1;83.1483437;86.32261769
SB190414 - PP1;112.4222038;119.8729303
SB190519 - PP1;76.41965436;98.54434408
SB190615 - PP1;18.91903601;33.33165726
PS180901 - PP1;2.606186618;3.672100203
PS181001 - PP1 ;4.371547861;4.985424794
PS181102 - PP1 ;19.75567586;20.48116679
PS181203 - PP1 ;8.278037438;9.729019282
PS190106 - PP1 ;15.73910854;19.75103816
PS190210 - PP1 ;9.56999521;8.338641425
PS190313 - PP1;43.97229176;46.66954291
PS190413 - PP1;65.99844672;71.42116479
PS190518 - PP1;12.34439885;15.82728281
PS190614 - PP1;17.31411988;13.96197977
PS190709 - PP1;12.3024658;12.55043487
PS190806 - PP1;3.416783206;3.007345893
BM180526-PP1;2.754075152;2.858248208
BM180629-PP1;0.187677111;0.281893581
BM180731-PP1;2.66671759;6.125654553
BM180831 - PP1 ;1.867674065;3.348419638
BM180929 - PP1;4.389220075;5.207722654
BM181103 - PP1 ;11.9362789;12.41208934
BM181204 - PP1 ;6.603827619;7.905990812
BM190106 - PP1 ;3.348419638;4.892413138
BM190206 - PP1 ;4.820267316;5.374883522
BM190313 - PP1;46.87785464;30.99678552
BM190413 - PP1;36.59620484;34.90352323
BM190518 - PP1;8.971904397;6.458729435
SM180803-PP1;4.698762869;5.857874133
SM180831 - PP1;15.12695077;13.23416356
SM181001 - PP1;16.01009645;20.46674998
SM181101 - PP1;26.41531048;30.34040239
SM181203 - PP1 ;70.80394485;74.46317736
SM190108 - PP1 ;8.036207131;16.22123291
SM190210 - PP1 ;21.33315356;44.66629027
SM190311 - PP1;15.19132584;56.21881717
SM190409 - PP1;36.27092993;142.5994094
SM190514 - PP1;16.58227507;59.6774532
SM190617 - PP1;19.77185989;44.9984814
