X,Y,Name,description,altitudeMode,hora,ano,DDLon,Frp.1,precipitacao,bioma,frp,datahora,satelite,latitude,riscofogo,diasemchuva,pais,estado,municipio,Field_1,DDLat,data/hora,OID,longitude,mês,Mês/Ano,Índice
-42.9798,-22.8559000016759,54042,,clampToGround,0.158333333,2018,042.97980000W,"&lt;Nulo&gt;",0,Mata Atlantica,0.3,04/12/2018,NPP-375,"-22,8559","0,2",3,Brasil,RIO DE JANEIRO,SAO GONCALO,54042,22.85590000S,04/12/2018 03:48:00,35581,"-42,9798",12,122018,54042
-43.753,-22.903000001677,54045,,clampToGround,0.145833333,2018,043.75300000W,"&lt;Nulo&gt;","8,7",Mata Atlantica,2.9,05/12/2018,NPP-375,"-22,903",0,2,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,54045,22.90300000S,05/12/2018 03:30:00,35584,"-43,753",12,122018,54045
-43.7568,-22.7854000016743,54046,,clampToGround,0.145833333,2018,043.75680000W,"&lt;Nulo&gt;","13,6",Mata Atlantica,1.4,05/12/2018,NPP-375,"-22,7854",0,2,Brasil,RIO DE JANEIRO,SEROPEDICA,54046,22.78540000S,05/12/2018 03:30:00,35585,"-43,7568",12,122018,54046
-41.4063,-21.7378000016497,54047,,clampToGround,0.666666667,2018,041.40630000W,"&lt;Nulo&gt;","3,5",Mata Atlantica,3.1,05/12/2018,NPP-375,"-21,7378","0,1",0,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,54047,21.73780000S,05/12/2018 16:00:00,35586,"-41,4063",12,122018,54047
-41.4196,-21.7438000016499,54048,,clampToGround,0.654166667,2018,041.41960000W,"&lt;Nulo&gt;","0,6",Mata Atlantica,2.9,06/12/2018,NPP-375,"-21,7438","0,2",0,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,54048,21.74380000S,06/12/2018 15:42:00,35587,"-41,4196",12,122018,54048
-41.4198,-21.7394000016497,54049,,clampToGround,0.654166667,2018,041.41980000W,"&lt;Nulo&gt;","0,6",Mata Atlantica,5.4,06/12/2018,NPP-375,"-21,7394","0,2",0,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,54049,21.73940000S,06/12/2018 15:42:00,35588,"-41,4198",12,122018,54049
-42.1302,-21.8634000016527,54050,,clampToGround,0.654166667,2018,042.13020000W,"&lt;Nulo&gt;","0,2",Mata Atlantica,7.5,06/12/2018,NPP-375,"-21,8634",1,0,Brasil,RIO DE JANEIRO,SAO SEBASTIAO DO ALTO,54050,21.86340000S,06/12/2018 15:42:00,35589,"-42,1302",12,122018,54050
-43.7587,-22.7855000016743,54051,,clampToGround,0.1625,2018,043.75870000W,"&lt;Nulo&gt;",0,Mata Atlantica,0.5,09/12/2018,NPP-375,"-22,7855",1,4,Brasil,RIO DE JANEIRO,SEROPEDICA,54051,22.78550000S,09/12/2018 03:54:00,35590,"-43,7587",12,122018,54051
-43.7565,-22.7846000016743,54052,,clampToGround,0.15,2018,043.75650000W,"&lt;Nulo&gt;",0,Mata Atlantica,1.3,10/12/2018,NPP-375,"-22,7846",1,5,Brasil,RIO DE JANEIRO,SEROPEDICA,54052,22.78460000S,10/12/2018 03:36:00,35591,"-43,7565",12,122018,54052
-43.171,-22.1924000016605,54053,,clampToGround,0.670833333,2018,043.17100000W,"&lt;Nulo&gt;",0,Mata Atlantica,16,10/12/2018,NPP-375,"-22,1924",1,3,Brasil,RIO DE JANEIRO,TRES RIOS,54053,22.19240000S,10/12/2018 16:06:00,35592,"-43,171",12,122018,54053
-44.3832,-22.4378000016662,54054,,clampToGround,0.670833333,2018,044.38320000W,"&lt;Nulo&gt;",0,Mata Atlantica,3.1,10/12/2018,NPP-375,"-22,4378",1,3,Brasil,RIO DE JANEIRO,RESENDE,54054,22.43780000S,10/12/2018 16:06:00,35593,"-44,3832",12,122018,54054
