longitude,latitude,precipitacao,bioma,frp,satelite,riscofogo,diasemchuva,estado,municipio,data/hora,campanha
-43.7566,-22.901500001677,0,Mata Atlantica,1.3,NPP-375,1,0,RIO DE JANEIRO,RIO DE JANEIRO,2018-07-01 04:12:00,SB180801PP1
-43.1105,-22.4582000016667,0,Mata Atlantica,2.1,NPP-375,"0,7",20,RIO DE JANEIRO,PETROPOLIS,2018-07-01 04:12:00,SB180801PP1
-43.7568,-22.7082000016725,0,Mata Atlantica,1.1,NPP-375,1,6,RIO DE JANEIRO,ITAGUAI,2018-07-01 04:12:00,SB180801PP1
-43.7562,-22.7047000016724,0,Mata Atlantica,1.1,NPP-375,1,7,RIO DE JANEIRO,ITAGUAI,2018-07-01 04:12:00,SB180801PP1
-43.7522,-22.902100001677,0,Mata Atlantica,1.3,NPP-375,1,0,RIO DE JANEIRO,RIO DE JANEIRO,2018-07-01 04:12:00,SB180801PP1
-43.7576,-22.7862000016743,0,Mata Atlantica,1.3,NPP-375,1,0,RIO DE JANEIRO,SEROPEDICA,2018-07-01 04:12:00,SB180801PP1
-44.4275,-22.4601000016668,0,Mata Atlantica,4.0,NPP-375,1,15,RIO DE JANEIRO,RESENDE,2018-07-01 16:42:00,SB180801PP1
-43.7238,-22.7240000016729,0,Mata Atlantica,10.2,NPP-375,1,7,RIO DE JANEIRO,SEROPEDICA,2018-07-01 16:42:00,SB180801PP1
-43.7281,-22.7247000016729,0,Mata Atlantica,4.3,NPP-375,1,6,RIO DE JANEIRO,SEROPEDICA,2018-07-01 16:42:00,SB180801PP1
-42.7582,-22.4371000016662,0,Mata Atlantica,2.4,NPP-375,"0,9",20,RIO DE JANEIRO,CACHOEIRAS DE MACACU,2018-07-01 16:42:00,SB180801PP1
-42.9918,-22.0485000016571,0,Mata Atlantica,7.4,NPP-375,1,20,RIO DE JANEIRO,SAPUCAIA,2018-07-01 16:42:00,SB180801PP1
-43.3838,-22.4134000016657,0,Mata Atlantica,2.9,NPP-375,1,19,RIO DE JANEIRO,PATY DO ALFERES,2018-07-01 16:42:00,SB180801PP1
-42.7571,-22.4361000016662,0,Mata Atlantica,2.3,NPP-375,"0,9",20,RIO DE JANEIRO,CACHOEIRAS DE MACACU,2018-07-01 16:42:00,SB180801PP1
-41.4266,-21.6801000016483,0,Mata Atlantica,2.8,NPP-375,1,21,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,2018-07-01 16:42:00,SB180801PP1
-41.3086,-21.8961000016535,0,Mata Atlantica,3.0,NPP-375,1,21,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,2018-07-01 16:42:00,SB180801PP1
-43.2177,-22.1340000016591,0,Mata Atlantica,5.6,NPP-375,1,20,RIO DE JANEIRO,TRES RIOS,2018-07-01 16:42:00,SB180801PP1
-43.7286,-22.3991000016653,0,Mata Atlantica,3.2,NPP-375,1,15,RIO DE JANEIRO,VASSOURAS,2018-07-01 16:42:00,SB180801PP1
-42.9955,-22.047600001657,0,Mata Atlantica,11.0,NPP-375,1,20,RIO DE JANEIRO,SAPUCAIA,2018-07-01 16:42:00,SB180801PP1
-42.9925,-22.044800001657,0,Mata Atlantica,8.2,NPP-375,1,20,RIO DE JANEIRO,SAPUCAIA,2018-07-01 16:42:00,SB180801PP1
-42.9916,-22.0431000016569,0,Mata Atlantica,5.5,NPP-375,1,20,RIO DE JANEIRO,SAPUCAIA,2018-07-01 16:42:00,SB180801PP1
-43.7561,-22.7854000016743,0,Mata Atlantica,0.7,NPP-375,1,2,RIO DE JANEIRO,SEROPEDICA,2018-07-02 03:54:00,SB180801PP1
-41.2874,-21.5244000016446,0,Mata Atlantica,0.8,NPP-375,1,24,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,2018-07-02 03:54:00,SB180801PP1
-41.2836,-21.5250000016446,0,Mata Atlantica,0.8,NPP-375,1,24,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,2018-07-02 03:54:00,SB180801PP1
-43.59,-22.5649000016692,0,Mata Atlantica,0.8,NPP-375,1,21,RIO DE JANEIRO,MIGUEL PEREIRA,2018-07-02 03:54:00,SB180801PP1
-42.852,-22.3588000016644,0,Mata Atlantica,0.7,NPP-375,"0,8",21,RIO DE JANEIRO,TERESOPOLIS,2018-07-02 03:54:00,SB180801PP1
-43.1274,-22.3383000016639,0,Mata Atlantica,14.8,NPP-375,"0,8",21,RIO DE JANEIRO,PETROPOLIS,2018-07-02 16:24:00,SB180801PP1
-41.4339,-21.6759000016482,0,Mata Atlantica,5.3,NPP-375,1,22,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,2018-07-02 16:24:00,SB180801PP1
-43.128,-22.3349000016638,0,Mata Atlantica,14.8,NPP-375,"0,8",21,RIO DE JANEIRO,PETROPOLIS,2018-07-02 16:24:00,SB180801PP1
-43.6654,-22.8044000016747,0,Mata Atlantica,2.5,NPP-375,1,16,RIO DE JANEIRO,SEROPEDICA,2018-07-02 16:24:00,SB180801PP1
-41.1348,-21.4848000016436,0,Mata Atlantica,2.4,NPP-375,1,22,RIO DE JANEIRO,SAO FRANCISCO DE ITABAPOANA,2018-07-02 16:24:00,SB180801PP1
-42.8412,-22.3622000016645,0,Mata Atlantica,9.2,NPP-375,"0,8",21,RIO DE JANEIRO,TERESOPOLIS,2018-07-02 16:24:00,SB180801PP1
-42.8451,-22.3627000016645,0,Mata Atlantica,10.0,NPP-375,"0,8",21,RIO DE JANEIRO,TERESOPOLIS,2018-07-02 16:24:00,SB180801PP1
-41.4383,-21.6731000016481,0,Mata Atlantica,4.1,NPP-375,1,22,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,2018-07-02 16:24:00,SB180801PP1
-43.7523,-22.8237000016752,0,Mata Atlantica,10.4,NPP-375,1,2,RIO DE JANEIRO,SEROPEDICA,2018-07-02 16:24:00,SB180801PP1
-43.6659,-22.8523000016759,0,Mata Atlantica,2.5,NPP-375,1,18,RIO DE JANEIRO,NOVA IGUACU,2018-07-02 16:24:00,SB180801PP1
-42.8387,-22.8533000016759,0,Mata Atlantica,2.6,NPP-375,1,15,RIO DE JANEIRO,ITABORAI,2018-07-02 16:24:00,SB180801PP1
-43.7528,-22.8202000016751,0,Mata Atlantica,11.7,NPP-375,1,2,RIO DE JANEIRO,SEROPEDICA,2018-07-02 16:24:00,SB180801PP1
-42.0891,-21.6588000016478,0,Mata Atlantica,1.2,NPP-375,1,22,RIO DE JANEIRO,APERIBE,2018-07-02 16:24:00,SB180801PP1
-42.2341,-21.5536000016453,0,Mata Atlantica,2.3,NPP-375,1,21,RIO DE JANEIRO,SANTO ANTONIO DE PADUA,2018-07-02 16:24:00,SB180801PP1
-41.8945,-21.33190000164,0,Mata Atlantica,0.4,NPP-375,1,23,RIO DE JANEIRO,SAO JOSE DE UBA,2018-07-02 16:24:00,SB180801PP1
-43.1185,-22.4623000016668,0,Mata Atlantica,4.6,NPP-375,"0,7",21,RIO DE JANEIRO,PETROPOLIS,2018-07-02 16:24:00,SB180801PP1
-43.1154,-22.4584000016667,0,Mata Atlantica,7.4,NPP-375,"0,7",21,RIO DE JANEIRO,PETROPOLIS,2018-07-02 16:24:00,SB180801PP1
-44.0942,-22.5887000016698,0,Mata Atlantica,1.6,NPP-375,1,13,RIO DE JANEIRO,VOLTA REDONDA,2018-07-02 16:24:00,SB180801PP1
-42.2021,-22.5744000016694,0,Mata Atlantica,2.3,NPP-375,1,21,RIO DE JANEIRO,SILVA JARDIM,2018-07-02 16:24:00,SB180801PP1
-42.8406,-22.3655000016646,0,Mata Atlantica,9.2,NPP-375,"0,8",21,RIO DE JANEIRO,TERESOPOLIS,2018-07-02 16:24:00,SB180801PP1
-42.8445,-22.3661000016646,0,Mata Atlantica,10.0,NPP-375,"0,8",21,RIO DE JANEIRO,TERESOPOLIS,2018-07-02 16:24:00,SB180801PP1
-43.8222,-22.4504000016665,0,Mata Atlantica,4.5,NPP-375,"0,9",16,RIO DE JANEIRO,BARRA DO PIRAI,2018-07-02 16:24:00,SB180801PP1
-43.6831,-22.642800001671,0,Mata Atlantica,1.5,NPP-375,1,17,RIO DE JANEIRO,PARACAMBI,2018-07-02 16:24:00,SB180801PP1
-43.6614,-22.8038000016748,0,Mata Atlantica,3.3,NPP-375,1,17,RIO DE JANEIRO,SEROPEDICA,2018-07-02 16:24:00,SB180801PP1
-43.1192,-22.4590000016667,0,Mata Atlantica,2.6,NPP-375,"0,7",21,RIO DE JANEIRO,PETROPOLIS,2018-07-02 16:24:00,SB180801PP1
-43.7568,-22.8208000016751,0,Mata Atlantica,11.7,NPP-375,1,2,RIO DE JANEIRO,SEROPEDICA,2018-07-02 16:24:00,SB180801PP1
-43.9256,-22.5211000016682,0,Mata Atlantica,5.1,NPP-375,1,18,RIO DE JANEIRO,PINHEIRAL,2018-07-02 16:24:00,SB180801PP1
-44.17,-22.4983000016676,"0,1",Mata Atlantica,3.2,NPP-375,1,18,RIO DE JANEIRO,BARRA MANSA,2018-07-02 16:24:00,SB180801PP1
-43.5608,-22.7966000016746,0,Mata Atlantica,4.1,NPP-375,1,17,RIO DE JANEIRO,NOVA IGUACU,2018-07-02 16:24:00,SB180801PP1
-43.8338,-22.8281000016753,0,Mata Atlantica,2.9,NPP-375,1,2,RIO DE JANEIRO,ITAGUAI,2018-07-02 16:24:00,SB180801PP1
