,data,altitude,campanha,chuva_gdas,evt_id,evt_soma_chuva,evt_media_chuva,evt_max_chuva,direcao,velocidade,direcao_cat,velocidade_cat,evt_soma_chuva_cat
11,2018-01-06 02:00:00,2391.0,PS190210 - PP1,1.1,12,18.4,1.84,6.0,338.713594886341,42.55844833872564,NNW,40-50 km/h,5-20 mm
12,2018-01-06 01:00:00,2391.0,PS190210 - PP1,1.1,12,18.4,1.84,6.0,337.2094091582151,39.88494629556357,NNW,30-40 km/h,5-20 mm
13,2018-01-06 04:00:00,2391.0,PS190210 - PP1,0.2,12,18.4,1.84,6.0,339.83178803094285,46.30523060087248,NNW,40-50 km/h,5-20 mm
14,2018-01-08 19:00:00,2391.0,PS190210 - PP1,0.0,18,30.4,6.08,14.6,28.886581766911693,10.23438600991781,NNE,10-20 km/h,20-35 mm
15,2018-01-08 22:00:00,2391.0,PS190210 - PP1,0.0,18,30.4,6.08,14.6,48.71528910542935,11.239749641339882,NE,10-20 km/h,20-35 mm
16,2018-01-09 02:00:00,2391.0,PS190210 - PP1,0.0,18,30.4,6.08,14.6,71.25865955480762,18.272850270277917,ENE,10-20 km/h,20-35 mm
17,2018-01-09 01:00:00,2391.0,PS190210 - PP1,0.0,18,30.4,6.08,14.6,73.86441133869458,17.048600323780125,ENE,10-20 km/h,20-35 mm
18,2018-01-12 19:00:00,2391.0,PS190210 - PP1,1.9,20,12.2,6.1,9.6,299.1271609782056,23.700073945032287,WNW,20-30 km/h,5-20 mm
19,2018-01-12 22:00:00,2391.0,PS190210 - PP1,0.3,20,12.2,6.1,9.6,303.69006752597926,22.282306882367283,WNW,20-30 km/h,5-20 mm
20,2018-01-13 22:00:00,2391.0,PS190210 - PP1,0.0,21,15.0,3.75,9.2,310.7108466711807,17.528772290151615,NW,10-20 km/h,5-20 mm
21,2018-01-14 02:00:00,2391.0,PS190210 - PP1,0.0,21,15.0,3.75,9.2,347.50752442263905,17.618119139113357,NNW,10-20 km/h,5-20 mm
22,2018-01-14 01:00:00,2391.0,PS190210 - PP1,0.0,21,15.0,3.75,9.2,348.8220852174934,17.533613489523315,N,10-20 km/h,5-20 mm
23,2018-01-14 04:00:00,2391.0,PS190210 - PP1,0.0,21,15.0,3.75,9.2,341.6686600686881,18.01204677431159,NNW,10-20 km/h,5-20 mm
24,2018-01-14 22:00:00,2391.0,PS190210 - PP1,0.0,23,7.6,2.5333,5.2,304.1012741942472,11.941338660300604,NW,10-20 km/h,5-20 mm
25,2018-01-15 02:00:00,2391.0,PS190210 - PP1,0.0,23,7.6,2.5333,5.2,326.30993247402114,24.13916578923117,NNW,20-30 km/h,5-20 mm
26,2018-01-15 01:00:00,2391.0,PS190210 - PP1,0.0,23,7.6,2.5333,5.2,332.9643575200275,22.433437832842053,NNW,20-30 km/h,5-20 mm
27,2018-01-15 19:00:00,2391.0,PS190210 - PP1,0.0,25,7.0,1.4,3.2,338.8186504997345,17.674031684932483,NNW,10-20 km/h,5-20 mm
28,2018-01-15 22:00:00,2391.0,PS190210 - PP1,0.0,25,7.0,1.4,3.2,343.3342424831256,16.880062855333126,NNW,10-20 km/h,5-20 mm
29,2018-01-16 02:00:00,2391.0,PS190210 - PP1,0.0,25,7.0,1.4,3.2,355.634742264973,13.53225587254395,N,10-20 km/h,5-20 mm
30,2018-01-16 01:00:00,2391.0,PS190210 - PP1,0.0,25,7.0,1.4,3.2,356.8697551377818,13.203700125343651,N,10-20 km/h,5-20 mm
31,2018-01-22 19:00:00,2391.0,PS190210 - PP1,0.0,29,6.8,0.85,1.8,271.8328395059411,12.881590313311468,W,10-20 km/h,5-20 mm
32,2018-01-22 22:00:00,2391.0,PS190210 - PP1,0.0,29,6.8,0.85,1.8,243.2084844705797,11.654030118375363,WSW,10-20 km/h,5-20 mm
33,2018-01-23 02:00:00,2391.0,PS190210 - PP1,0.0,29,6.8,0.85,1.8,181.36392753159944,4.327226016745759,S,0-10 km/h,5-20 mm
34,2018-01-23 01:00:00,2391.0,PS190210 - PP1,0.0,29,6.8,0.85,1.8,193.17255342332172,4.971817575092592,SSW,0-10 km/h,5-20 mm
35,2018-01-23 19:00:00,2391.0,PS190210 - PP1,0.0,30,83.8,27.9333,82.8,142.12501634891117,1.1743806878520069,SE,0-10 km/h,80-95 mm
36,2018-01-23 22:00:00,2391.0,PS190210 - PP1,0.4,30,83.8,27.9333,82.8,139.70785224437296,6.211677148725945,SE,0-10 km/h,80-95 mm
37,2018-01-25 19:00:00,2391.0,PS190210 - PP1,0.6,32,49.6,8.2667,29.8,107.52556837372184,4.104520922105671,ESE,0-10 km/h,35-50 mm
38,2018-01-25 22:00:00,2391.0,PS190210 - PP1,0.7,32,49.6,8.2667,29.8,139.93921554212724,5.921380328943556,SE,0-10 km/h,35-50 mm
39,2018-01-26 19:00:00,2391.0,PS190210 - PP1,0.8,34,14.6,2.92,5.6,195.5241109967547,11.545192765822575,SSW,10-20 km/h,5-20 mm
40,2018-01-26 22:00:00,2391.0,PS190210 - PP1,1.2,35,20.8,4.16,15.4,180.0,13.802000000000035,S,10-20 km/h,20-35 mm
41,2018-01-27 02:00:00,2391.0,PS190210 - PP1,1.3,35,20.8,4.16,15.4,158.30489053920363,10.309265832250093,SSE,10-20 km/h,20-35 mm
42,2018-01-27 01:00:00,2391.0,PS190210 - PP1,1.8,35,20.8,4.16,15.4,161.38983527217246,10.650917190552471,SSE,10-20 km/h,20-35 mm
43,2018-01-27 07:00:00,2391.0,PS190210 - PP1,0.0,37,11.4,1.2667,4.0,154.9164059938109,5.345094667075586,SSE,0-10 km/h,5-20 mm
44,2018-01-27 10:00:00,2391.0,PS190210 - PP1,0.0,37,11.4,1.2667,4.0,180.0,5.047000000000313,S,0-10 km/h,5-20 mm
45,2018-01-27 13:00:00,2391.0,PS190210 - PP1,0.0,37,11.4,1.2667,4.0,181.39718102729324,4.224255910808467,S,0-10 km/h,5-20 mm
46,2018-01-27 19:00:00,2391.0,PS190210 - PP1,0.0,38,16.0,1.7778,3.8,216.15818543980612,3.3168558907494345,SW,0-10 km/h,5-20 mm
47,2018-01-27 22:00:00,2391.0,PS190210 - PP1,0.3,38,16.0,1.7778,3.8,169.69515353123072,4.606300033649664,S,0-10 km/h,5-20 mm
48,2018-01-28 02:00:00,2391.0,PS190210 - PP1,0.6,38,16.0,1.7778,3.8,143.56914187983975,5.376757852088992,SE,0-10 km/h,5-20 mm
49,2018-01-28 01:00:00,2391.0,PS190210 - PP1,0.6,38,16.0,1.7778,3.8,156.13982480865596,5.856526018042186,SSE,0-10 km/h,5-20 mm
50,2018-01-29 19:00:00,2391.0,PS190210 - PP1,0.0,39,13.4,2.2333,4.8,295.83053014282274,17.966046448787317,WNW,10-20 km/h,5-20 mm
51,2018-01-29 22:00:00,2391.0,PS190210 - PP1,1.0,39,13.4,2.2333,4.8,286.8803301655232,15.607474139013812,WNW,10-20 km/h,5-20 mm
52,2018-01-30 02:00:00,2391.0,PS190210 - PP1,0.7,39,13.4,2.2333,4.8,290.7255588655604,20.37344165819829,WNW,20-30 km/h,5-20 mm
53,2018-01-30 01:00:00,2391.0,PS190210 - PP1,0.7,39,13.4,2.2333,4.8,283.47315811273097,20.3356539112958,WNW,20-30 km/h,5-20 mm
54,2018-01-30 04:00:00,2391.0,PS190210 - PP1,0.7,40,16.0,4.0,9.6,301.05190381562574,22.963687726495635,WNW,20-30 km/h,5-20 mm
55,2018-01-30 07:00:00,2391.0,PS190210 - PP1,0.7,40,16.0,4.0,9.6,299.6784899251353,33.075992774215784,WNW,30-40 km/h,5-20 mm
56,2018-01-30 10:00:00,2391.0,PS190210 - PP1,0.0,41,37.2,2.0667,7.0,291.284423383599,36.03601871738886,WNW,30-40 km/h,35-50 mm
57,2018-01-30 13:00:00,2391.0,PS190210 - PP1,0.0,41,37.2,2.0667,7.0,277.01650174472263,40.47310262384146,W,40-50 km/h,35-50 mm
58,2018-01-30 19:00:00,2391.0,PS190210 - PP1,0.2,41,37.2,2.0667,7.0,254.6273382624781,39.630914763603656,WSW,30-40 km/h,35-50 mm
59,2018-01-30 22:00:00,2391.0,PS190210 - PP1,0.8,41,37.2,2.0667,7.0,238.0117302261485,36.55339252381401,WSW,30-40 km/h,35-50 mm
60,2018-01-31 02:00:00,2391.0,PS190210 - PP1,0.7,41,37.2,2.0667,7.0,234.94762612343445,24.0316901819246,SW,20-30 km/h,35-50 mm
61,2018-01-31 01:00:00,2391.0,PS190210 - PP1,0.7,41,37.2,2.0667,7.0,232.55316977502895,26.59594830044593,SW,20-30 km/h,35-50 mm
62,2018-01-31 04:00:00,2391.0,PS190210 - PP1,0.0,41,37.2,2.0667,7.0,243.3041367682166,20.17564673065008,WSW,20-30 km/h,35-50 mm
63,2018-02-03 19:00:00,2391.0,PS190210 - PP1,0.0,48,36.6,2.44,20.4,224.2151753970072,5.317234713646095,SW,0-10 km/h,35-50 mm
64,2018-02-03 22:00:00,2391.0,PS190210 - PP1,0.0,48,36.6,2.44,20.4,173.4801982483466,3.6284664804845472,S,0-10 km/h,35-50 mm
65,2018-02-04 02:00:00,2391.0,PS190210 - PP1,0.2,48,36.6,2.44,20.4,60.52411099676125,2.721228031606514,ENE,0-10 km/h,35-50 mm
66,2018-02-04 01:00:00,2391.0,PS190210 - PP1,0.1,48,36.6,2.44,20.4,98.13010235416412,1.456639969244619,E,0-10 km/h,35-50 mm
67,2018-02-04 04:00:00,2391.0,PS190210 - PP1,0.2,48,36.6,2.44,20.4,40.60129464500685,5.697678474606942,NE,0-10 km/h,35-50 mm
68,2018-02-04 07:00:00,2391.0,PS190210 - PP1,0.3,48,36.6,2.44,20.4,28.21735585473231,9.58508946228458,NNE,0-10 km/h,35-50 mm
69,2018-02-04 10:00:00,2391.0,PS190210 - PP1,0.0,48,36.6,2.44,20.4,40.100907546213385,10.233867695060122,NE,10-20 km/h,35-50 mm
70,2018-02-04 19:00:00,2391.0,PS190210 - PP1,0.0,49,9.0,1.8,3.4,62.89187712919952,9.719729677311248,ENE,0-10 km/h,5-20 mm
71,2018-02-04 22:00:00,2391.0,PS190210 - PP1,0.7,49,9.0,1.8,3.4,72.74488899790904,14.236746292604618,ENE,10-20 km/h,5-20 mm
72,2018-02-05 01:00:00,2391.0,PS190210 - PP1,0.3,49,9.0,1.8,3.4,62.4348746947996,18.474077243532182,ENE,10-20 km/h,5-20 mm
